SR.NO,PRODUCT CODE,PRODUCT NAME,SHORT NAME,B2B
140,SERUM ELECTROLYTES,SERUM ELECTROLYTES,SEEL,0.82
141,CEA,CARCINO EMBRYONIC ANTIGEN (CEA),CEA,6.3
142,DG_G,DENGUE-IGG,DG_G,14.53
143,SGOT,ASPARTATE AMINOTRANSFERASE (SGOT ),SGOT,0.46
144,HOMO,HOMOCYSTEINE,HOMO,8.91
145,CA125,CA125,CA125,9.03
146,HBCM,ANTI HEPATITIS B CORE ANTIGEN (AHBC) - IGM,HBCM,23.58
147,INSPP,INSULIN - PP,INSPP,8.21
148,SGPT,ALANINE TRANSAMINASE (SGPT),SGPT,0.46
149,T3,TOTAL TRIIODOTHYRONINE (T3),T3,1.15
150,AVM DIAMOND PACKAGE,AVM DIAMOND PACKAGE,ADDP,50
151,CHS2G,HERPES SIMPLEX VIRUS II (HSV)-IGG,CHS2G,9.27
152,TEST,TESTOSTERONE,TEST,5.47
153,HSCRP,HIGH SENSITIVITY C-REACTIVE PROTEIN (HS-CRP),HSCRP,6.62
154,PLA2,LIPOPROTEIN ASSOCIATED PHOSPHOLIPASE A2 (LP-PLA2),PLA2,20.07
155,PHOS,PHOSPHOROUS,PHOS,1.15
156,ALKP,ALKALINE PHOSPHATASE,ALKP,0.45
157,AVM DIABETIC PROFILE 1.1,AVM DIABETIC PROFILE 1.1,ADP1.1,0
158,TIGE,TOTAL IGE,TIGE,6.39
159,AVM WELLNESS PROFILE 1.2,AVM WELLNESS PROFILE 1.2,AWP1.2,0
160,CHOL,TOTAL CHOLESTEROL,CHOL,0.09
161,EXECUTIVE AROGYAM FEMALE,EXECUTIVE AROGYAM FEMALE,EAFA,0
162,17OH,17 OH PROGESTERONE,17OH,12.19
163,FITNESS PROFILE,FITNESS PROFILE,FPNA,0
164,APOB,APOLIPOPROTEIN - B (APO-B),APOB,7.14
165,CA15-3,CA15-3,CA15-3,10.13
166,MG,MAGNESIUM,MG,1.15
167,TG,THYROGLOBULIN (TG),TG,10.95
168,AVM DIABETIC PROFILE 1.2,AVM DIABETIC PROFILE 1.2,ADP1.2,0
169,SECU,SERUM COPPER,SECU,5.75
170,CSAG,HEPATITIS B SURFACE ANTIGEN,CSAG,3.03
171,ANA,ANTI NUCLEAR ANTIBODIES (ANA),ANA,13.36
172,LH,LUTEINISING HORMONE (LH),LH,3.24
173,CCM_M,CYTOMEGALO VIRUS (CMV) - IGM,CCM_M,9.64
174,BLOOD GROUPING AND RH TYPING,BLOOD GROUPING AND RH TYPING,BGRT,4.53
175,RFAC,RHEUMATOID FACTOR (RF),RFAC,6.93
176,ACCP,ANTI - CCP (ACCP),ACCP,19.68
177,MINI WELLNESS,MINI WELLNESS,MW,9.74
178,SALB,ALBUMIN - SERUM,SALB,0.72
179,LDL,LDL CHOLESTEROL - DIRECT,LDL,2.91
180,AFP,ALPHA FETO PROTEIN (AFP),AFP,8.9
181,EXECUTIVE AROGYAM MALE,EXECUTIVE AROGYAM MALE,EAMA,0
